region,juvenile_offenders_share_pct,digital_deviation_risk_index,internet_active_users_2023_pct,internet_active_users_2024_pct,internet_active_users_2025_pct,school_students_share_2023_pct,registered_crimes_2025,registered_crimes_per_100k_2025,underage_criminals_per_100k_pop,population_2024,life_quality_2025,healthy_lifestyle_pct,gini_coeff,not_smoking_male_pct,not_smoking_female_pct,num_of_criminals,num_of_alcohol_crimes,num_of_female_crimes,num_of_drugs_crimes,num_of_underaged_criminals,life_quality,population_size,num_of_crimes,school_students_share_2021_pct,school_students_share_2022_pct,population_2019_2024_avg,registered_crimes_2023,registered_crimes_2024,it_diplomas_per_100k_2023,it_diplomas_per_100k_2024,it_diplomas_per_100k_2025,life_quality_2024,life_quality_avg
Республика Калмыкия,0.2666333333333333,36.86412818478348,96.3,96.7,97.2,12.8,2510.0,940.8854069048244,14.306956054528866,266770.0,48.977,6.216666666666668,0.3358,67.49685989412117,95.72862717460926,1542.5,530.0,164.33333333333334,10.666666666666666,38.16666666666666,47.4545,267662.1666666667,2712.0,12.969567594304014,12.979296781167427,267662.1666666667,2632.0,2785.0,0.37,0.0,0.37,45.932,47.454499999999996
Республика Крым,0.3718166666666667,45.11421968173845,90.7,94.9,98.7,,20010.0,1047.9188520130149,15.710927316536957,1909499.0,61.255,18.98333333333333,0.3326,60.86422110496064,90.027395116657,10648.666666666666,2274.333333,1676.5,60.5,300.0,58.5315,1924850.0,20915.4,,,1924850.0,21089.0,21972.0,0.11,0.05,0.16,55.808,58.5315
Краснодарский край,0.2928333333333333,23.580325341519412,92.6,93.7,94.3,13.5,62255.0,1067.2891934547597,12.520711176394821,5833002.0,77.054,12.35,0.408,69.08364267593154,92.43174093048064,25991.666666666668,4854.0,4380.166666666667,163.66666666666666,730.3333333333334,76.592,5814592.666666667,73155.8,12.765527571432822,13.131489793797781,5814592.666666667,74481.0,73735.0,0.67,0.53,0.75,76.13,76.592
Астраханская область,0.5492,62.2988238494919,91.7,94.8,97,13.2,8963.0,947.0335334187773,26.34464215840103,946429.0,53.032,8.133333333333333,0.3572,63.60116894108688,90.57709110960796,6443.333333333333,1659.0,1119.3333333333333,50.66666666666666,249.3333333333333,52.182,962078.1666666666,11838.0,12.901834318000052,13.122225331289702,962078.1666666666,12237.0,11127.0,0.0,0.21,0.21,51.332,52.182
Волгоградская область,0.537,61.499953995403025,93.7,95.6,96.3,10.7,29711.0,1210.7675217144315,22.28427315778135,2453898.0,55.564,12.116666666666667,0.3485999999999999,60.66218740409158,91.02734995148217,12826.833333333334,4411.5,2199.6666666666665,67.66666666666667,546.8333333333334,55.662,2492150.333333333,33979.0,10.41168883764858,10.587297537556042,2492150.3333333335,32827.0,33416.0,0.0,0.12,0.29,55.76,55.662
Ростовская область,0.3386499999999999,35.26340216495999,94.6,94.9,96.6,11.3,44270.0,1066.100134906098,13.738652066047639,4152518.0,71.035,14.433333333333332,0.3938,60.07876063468741,90.83667553278694,19508.0,3824.3333333333335,3740.0,112.83333333333331,570.5,69.67099999999999,4191164.5,53308.4,10.662251404335166,11.078061274873448,4191164.5,54493.0,51991.0,0.55,0.58,0.51,68.307,69.67099999999999
Севастополь,0.3237833333333333,31.318891184827002,93.5,95.7,96.7,,5555.0,989.5363875063683,12.17251481781011,561374.0,64.286,28.48333333333333,0.333,68.35331400011728,83.96698305939451,2317.5,677.1666667,379.6666666666667,28.0,68.33333333333333,63.4765,541962.0,6014.2,,,541962.0,6347.0,5764.0,0.77,0.54,1.25,62.667,63.4765
Республика Дагестан,0.1070333333333333,22.593128616061,95.6,96.2,96.5,15,13546.0,419.0922411318027,6.378477069246025,3232224.0,49.723,10.033333333333331,0.3838,81.47773050403417,99.55996555334212,9379.333333333334,639.3333333333334,1310.6666666666667,19.83333333333333,206.16666666666663,48.678,3184539.833333333,14126.4,14.327431609453628,14.728441602534373,3184539.8333333335,14015.0,13862.0,0.06,0.0,0.03,47.633,48.678
Республика Ингушетия,0.0710666666666666,13.401853726369586,86,88.3,91.2,16.6,1999.0,379.158605515724,4.836690565608285,527220.0,35.943,29.78333333333333,0.336,90.04889598803311,100.0,1055.8333333333333,114.83333333333331,155.16666666666666,21.83333333333333,25.5,35.014,510999.6666666667,2077.8,15.949769940932656,16.57683311298688,510999.6666666667,2116.0,1938.0,0.0,0.0,0.19,34.085,35.013999999999996
Кабардино-Балкарская Республика,0.1551333333333333,,93.8,93.2,95.9,13.5,,,7.4547414364348,905464.0,55.964,20.4,0.3618,72.91332409904464,99.3914247777083,3948.5,402.1666666666667,620.3333333333334,41.0,67.5,53.915,901640.3333333334,7038.0,12.967056882367897,13.277557727309922,901640.3333333334,,,0.46,0.44,1.33,51.866,53.915
Карачаево-Черкесская Республика,0.2416833333333333,,92.1,95.9,96.6,12.4,,,12.740521834692084,468322.0,46.143,15.283333333333331,0.3308,72.29379502239284,98.39788799587733,2176.6666666666665,404.8333333333333,315.8333333333333,44.333333333333336,59.66666666666666,44.016000000000005,469261.1666666667,4543.8,12.004031752174829,12.321358527891945,469261.1666666667,,,0.0,0.0,0.43,41.889,44.016000000000005
Республика Северная Осетия-Алания,0.180233333,,,,,,,,,,,16.8,0.3583999999999999,75.27833054622504,99.12191828965491,3916.0,365.0,573.0,47.5,61.0,51.276,686512.0,8780.2,,,,,,,,,,
Чеченская Республика,0.0035833333333333,,86.6,95.5,95.3,20.4,2492.0,,,,54.401,10.366666666666667,0.3783999999999999,95.5684047710234,99.93818,1998.1666666666667,107.83333333333331,304.6666666666667,3.1666666666666665,4.166666666666667,51.358,1513272.0,2570.6,20.5054910985137,20.553570803702357,,2234.0,2583.0,0.0,0.2,0.26,48.315,51.358000000000004
Ставропольский край,0.3733166666666667,36.271024294635865,89.2,93.6,92.7,11.2,30118.0,1043.5506917967034,16.5332228269582,2886108.0,63.621,12.0,0.3448,58.042461456744334,92.6160523983296,12739.166666666666,1981.0,2159.833333333333,67.0,477.1666666666667,62.9025,2895597.6666666665,32377.4,10.74361042110997,11.015192311336437,2895597.6666666665,33261.0,30931.0,0.4,0.31,0.55,62.184,62.9025
Республика Башкортостан,0.3171833333333334,34.322806379540395,92.4,94.1,94.6,12.8,49171.0,1209.8088727846764,14.504125002675696,4064361.0,62.917,8.499999999999998,0.386,62.23926491821794,93.09018510010765,18908.666666666668,8664.5,2976.333333333333,170.5,589.5,63.052,4088953.8333333335,51152.0,12.44371160518084,12.702300628528402,4088953.8333333335,52148.0,51253.0,0.9,1.28,1.4,63.187,63.052
Республика Марий Эл,0.3707499999999999,41.10309857227647,90.3,94.4,89.6,12.8,9079.0,1355.3699761440553,16.496131992941745,669854.0,52.072,12.383333333333333,0.3534,62.46634783392831,93.34695464841886,2798.6666666666665,1128.3333333333333,493.8333333333333,11.5,110.5,51.6425,676440.8333333334,8681.2,12.212318822458144,12.560933598087384,676440.8333333334,8300.0,10630.0,0.89,0.59,0.9,51.213,51.6425
Республика Мордовия,0.3237833333333333,25.66091587053656,91.5,92.4,93.5,9.6,6872.0,897.2556147023532,12.534420694328567,765891.0,56.638,10.816666666666668,0.359,70.68899074684502,97.60293190353994,3329.333333333333,1244.0,501.6666666666667,74.83333333333333,96.0,55.488,781838.6666666666,8229.6,9.334317200947353,9.423756142506143,781838.6666666666,7994.0,9642.0,4.15,4.8,4.05,54.338,55.488
Республика Татарстан,0.3542666666666667,,,,,12.6,47373.0,1183.4326917504202,14.434949381499683,4003016.0,76.646,13.983333333333333,0.3856,63.65319613185877,95.6718762650694,16978.5,6552.666666666667,2656.6666666666665,243.0,577.8333333333334,75.854,3998542.0,52629.0,11.780225134959155,12.216493453637474,3998542.0,55444.0,56206.0,6.43,6.1,6.62,75.062,75.854
Удмуртская Республика,0.5665166666666667,57.13471614872938,86.4,88.3,87.6,13.9,21253.0,1481.502652038225,26.942115231391988,1434557.0,58.841,11.666666666666666,0.3472,59.07744780010832,91.6824729301628,9432.5,4302.833333333333,1561.3333333333333,89.33333333333333,386.5,58.223,1452704.5,24384.6,13.315705461674096,13.687604645031628,1452704.5,24060.0,25503.0,3.17,2.91,2.16,57.605,58.223
